Postingan,Kategori Pekerjaan
"Dibutuhkan tukang las logam yang ahli dalam konstruksi bangunan. Kualifikasi mencakup keahlian dalam mengelas logam struktural, pengalaman dalam pengerjaan konstruksi besi, dan pemahaman tentang kode bangunan.",Tukang Las
"Kami sedang mencari tukang batu yang berpengalaman dalam proyek infrastruktur, seperti jembatan dan terowongan. Kualifikasi melibatkan keahlian dalam penanganan batu untuk konstruksi struktural, pengalaman dalam membangun fondasi yang kuat, dan kemampuan untuk bekerja dalam kondisi lingkungan yang berbeda.",Tukang Batu
Lowongan teknisi komputer kami mengutamakan kandidat yang dapat memberikan dukungan teknis tingkat tinggi kepada pengguna akhir dan secara efektif menangani pertanyaan serta masalah yang timbul.,Service Sistem
"Beberapa unit AC di sekolah tempat saya bekerja mengalami kehabisan freon, yang mengakibatkan masalah pada pendinginan. Kami sedang mencari teknisi servis AC yang dapat mengisi ulang freon dan memperbaiki unit-unit AC ini. Jika Anda memiliki keterampilan dalam menangani masalah freon pada AC, mohon segera hubungi kami.",Servis AC
"Sound system saya telah mengalami kerusakan yang berbahaya. Suaranya berubah menjadi menyeram kan, ada gangguan konstan dan terdengar berisik serta suara terputus-putus. Saya mencari teknisi elektronik yang berkompeten untuk memperbaiki sound system saya.",Servis Soundsystem
"Kami membuka peluang bagi tukang semen dan cor yang memiliki pengalaman di bidang konstruksi rumah tangga. Kualifikasi mencakup kemampuan untuk mencampur dan mengaplikasikan semen dengan presisi, pengetahuan tentang pondasi rumah dan pengecoran lantai, serta keterampilan bekerja dengan berbagai jenis cetakan beton.",Tukang Semen
Mesin cuci saya saat ini tidak dapat beroperasi sama sekali. Saya mencari teknisi elektronik yang ahli dalam servis mesin cuci untuk memeriksa dan memperbaiki masalah ini segera. Mohon segera hubungi saya jika Anda memiliki keterampilan yang diperlukan. Terima kasih,Servis Mesin Cuci
"Sound system saya telah mengalami kerusakan dan untuk memperbaikinya, saya butuh dukungan dari teknisi elektronik yang berpengalaman. Sekarang suara yang keluar sangat lembut dan gambar juga berubah seiring berjalannya waktu. Permasalahan ini telah berjalan selama satu minggu dan saya berharap teknisi elektronik yang berpengalaman dapat membantu menyelesaikan masalah ini.",Servis Soundsystem
"Perusahaan kami mencari teknisi komputer yang memiliki keahlian dalam mengelola dan memonitor data streaming, memastikan kelancaran aliran data real-time.",Service Data
"Kami mencari teknisi komputer yang memiliki fokus khusus pada perangkat lunak untuk menjadi bagian dari tim kami. Jika Anda memiliki keahlian dalam memecahkan masalah perangkat lunak, melakukan instalasi dan konfigurasi aplikasi, serta pemahaman yang kuat tentang pembaruan sistem operasi, kami mengundang Anda untuk mengajukan lamaran.",Service Perangkat lunak
Lowongan teknisi komputer kami terbuka untuk individu yang dapat mengelola integrasi data dari berbagai sumber dan memastikan keakuratan serta ketersediaan data yang diperlukan.,Service Data
"Perusahaan kami sedang mencari teknisi komputer yang memiliki pengetahuan mendalam tentang perangkat lunak untuk mengelola, mengoptimalkan, dan meningkatkan kinerja sistem kami.",Service Perangkat lunak
"Sound system saya bermasalah dan tidak bisa beroperasi dengan normal. Bagian ini, misalnya speaker, mixer, dan ampli rusak dan perlu ditangani teknisi. Saya harap anda bisa bantu masalah saya sebelum band saya tampil dalam seminggu.",Servis Soundsystem
"Jika Anda memiliki latar belakang sebagai teknisi komputer dan memiliki keahlian khusus dalam penanganan perangkat lunak, kami ingin mendengar lebih banyak tentang kualifikasi dan pengalaman Anda.",Service Perangkat lunak
"Kulkas saya mengalami masalah yang diduga terjadi pada kompresor, yang mengakibatkan ketidakmampuan pendinginan selama dua minggu terakhir. Saya sedang mencari teknisi elektronik yang ahli dalam servis kulkas untuk memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang sesuai.",Servis Kulkas
"Kulkas saya sudah mengalami kerusakan selama beberapa minggu. Kulkasnya tidak mau menyala, dan saat diberi beban berat, suaranya terdengar abnormal. Saya perlu teknisi yang memiliki kemampuan untuk memperbaiki kerusakan kulkas ini.",Servis Kulkas
"Diperlukan tukang las untuk proyek perbaikan dan pemeliharaan struktur logam di fasilitas pembangkit listrik. Pelamar ideal memiliki keahlian dalam memahami dan memecahkan masalah keausan logam, serta kemampuan untuk melakukan perbaikan dengan hasil yang tahan lama. Pengalaman dalam pemeliharaan fasilitas pembangkit listrik atau proyek perbaikan struktural diutamakan.",Tukang Las
"Ditempat saya bekerja telah terjadi kerusakan pada beberapa AC, terutama pada bagian ventilasi dan pendingin. Saya mencari tukang servis AC yang dapat menganalisis dan memperbaiki kerusakan ini dengan segera.",Servis AC
Lowongan untuk tukang kayu dengan keahlian khusus dalam desain furnitur minimalis yang dapat menyesuaikan diri dengan berbagai preferensi gaya.,Tukang Kayu
"Kami membutuhkan tukang cat motif yang kreatif dan inovatif. Pekerjaan yang akan dilakukan meliputi pengecatan berbagai macam motif, seperti motif marmer, motif batik, dan motif abstrak.",Tukang Cat
"Kami mencari teknisi komputer yang memiliki keahlian dalam manajemen basis data NoSQL, seperti MongoDB atau Cassandra, untuk mendukung pengembangan aplikasi berbasis data.",Service Data
"Kami mencari tukang batu pondasi yang terampil untuk proyek-proyek konstruksi kami. Kualifikasi melibatkan pemahaman mendalam tentang jenis-jenis batu pondasi, kemampuan dalam konstruksi fondasi yang kokoh, dan pengalaman dalam pengukuran dan penyesuaian. Pelamar yang dapat bekerja dengan cepat dan presisi di lingkungan konstruksi akan menjadi nilai tambah.",Tukang Batu
"Postingan ini dibuat untuk menawarkan pekerjaan bagi tukang servis AC. Ada beberapa pendingin ruangan (AC) di tempat saya bekerja yang mengalami kerusakan yang berbeda, mulai dari kipas pendingin tidak berfungsi, bau busuk, kondensasi, atau mengeluarkan banyak asap.",Servis AC
"Sound system band kami mengalami masalah mendesak yang memerlukan perbaikan segera. Dengan pertunjukan kami yang akan datang dalam waktu seminggu, kami membutuhkan teknisi elektronik yang terampil untuk memperbaiki sistem ini. Ada gangguan pada audio yang harus segera diperbaiki agar kami dapat kembali berlatih dan tampil secara maksimal. Jika Anda memiliki keahlian dalam memperbaiki sound system, harap hubungi kami secepatnya untuk kesempatan kerja sama. Terima kasih banyak.",Servis Soundsystem
"Posisi ini dikhususkan untuk tukang ukir kayu yang dapat menciptakan ornamen kayu yang unik dan memukau. Kami mencari individu yang memiliki kemampuan untuk menghadirkan keindahan artistik dalam setiap karyanya, serta dapat beradaptasi dengan berbagai gaya seni tukang kayu.",Tukang Kayu
"Perusahaan kami membuka peluang pekerjaan untuk tukang las tembaga berbakat yang mahir dalam menciptakan seni logam. Kualifikasi mencakup pengalaman dalam mengelas tembaga, keterampilan artistik, dan kemampuan untuk menerapkan teknik seni logam yang inovatif.",Tukang Las
Kami mencari tukang las yang mahir dalam proyek instalasi logam untuk konstruksi bangunan bertingkat. Pekerjaan mencakup pengelasan komponen struktural dan ornamentasi logam. Pelamar diharapkan memiliki keterampilan pengelasan yang tinggi dan pengalaman dalam proyek konstruksi bangunan bertingkat.,Tukang Las
"Beberapa unit AC di sekolah tempat saya bekerja mengalami masalah kehabisan freon, yang telah memengaruhi kinerja pendinginan ruangan. Saat ini, kami mencari tukang servis AC yang dapat menangani pengisian freon dan melakukan perbaikan sesuai kebutuhan. Jika Anda memiliki keahlian dalam bidang ini dan dapat membantu, silakan hubungi kami segera.",Servis AC
"Ingin terlibat dalam proyek inovatif? Kami mencari tukang semen berbakat untuk bergabung dengan tim kami. Tidak ada batasan pengalaman yang diperlukan, yang terpenting adalah niat untuk berkontribusi pada pengembangan campuran beton yang lebih baik. Segera kirimkan lamaran Anda!",Tukang Semen
"Dibutuhkan tukang las logam yang handal untuk proyek struktural. Kualifikasi mencakup keahlian dalam mengelas logam struktural, pengetahuan tentang teknik pengerjaan logam, dan kemampuan untuk bekerja dengan tim konstruksi.",Tukang Las
Lowongan teknisi komputer kami terbuka bagi mereka yang memiliki pengalaman dalam mengelola data terstruktur dan tidak terstruktur serta dapat mengimplementasikan solusi penyimpanan yang efisien.,Service Data
"Kami mencari tukang las tembaga berbakat untuk proyek pembuatan patung. Kualifikasi mencakup keterampilan artistik dalam menciptakan bentuk tembaga, pemahaman tentang struktur logam, dan pengalaman dalam merakit patung kompleks.",Tukang Las
"Kulkas saya mengalami masalah belakangan ini di mana pendinginan tidak efektif dan terdengar suara tidak normal saat beroperasi. Masalah ini sudah terjadi selama sekitar satu minggu, dan saya sedang mencari teknisi elektronik yang memiliki keahlian dalam servis kulkas untuk memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang diperlukan.",Servis Kulkas
Lowongan teknisi komputer kami mengutamakan kandidat yang memiliki pengetahuan tentang teknologi data mesh untuk mempercepat akses dan distribusi data di seluruh organisasi.,Service Data
"Membutuhkan bantuan! Beberapa unit AC di kantor kami sedang mengalami masalah yaitu terdapat kesulitan dalam memberikan pendinginan yang optimal dan terdengar suara tidak biasa saat dioperasikan. Kami mencari teknisi servis AC yang ahli untuk memeriksa dan memperbaiki beberapa unit AC ini. Jika Anda memiliki keahlian dalam bidang ini, mohon untuk segera menghubungi kami.",Servis AC
Perusahaan kami mencari teknisi komputer yang dapat merancang dan mengimplementasikan solusi keamanan berbasis cloud untuk melindungi data perusahaan yang disimpan di lingkungan cloud.,Service Keamanan
Perusahaan kami membuka peluang pekerjaan bagi teknisi komputer yang memiliki keahlian dalam merawat dan memperbaiki perangkat keras komputer.,Service Perangkat keras
Lowongan teknisi komputer kami mengutamakan kandidat yang dapat mengelola dan memantau sistem keamanan endpoint untuk melindungi perangkat dan data pengguna.,Service Keamanan
"Kulkas saya mengalami masalah belakangan ini dengan penurunan performa pendinginan dan adanya suara tidak biasa dari bagian dalamnya. Masalah ini sudah terjadi selama dua minggu terakhir, dan saat ini saya sedang mencari teknisi elektronik yang ahli dalam servis kulkas untuk memeriksanya. Mohon segera hubungi saya jika Anda memiliki keahlian yang sesuai.",Servis Kulkas
"Kami sedang mencari teknisi elektronik yang bertanggung jawab untuk memperbaiki beberapa mesin cuci di tempat cuci kami. Ada sejumlah kesulitan yang kami jumpai, di antaranya kami mengalami beberapa jenis gangguan pada mesin cuci kami; gangguan yang berhubungan dengan mesin cuci yang berputar terlalu cepat, mesin cuci yang berisik, dan mesin cuci yang tidak melewati cairan pembasuh.",Servis Mesin Cuci
"Membutuhkan bantuan! AC di kantor rumah saya mengalami masalah dengan pendinginan yang tidak efektif dan terdengar suara aneh saat dioperasikan. Saya mencari teknisi servis AC yang terampil untuk memeriksa dan memperbaiki permasalahan ini. Jika Anda memiliki keahlian dalam bidang ini, mohon untuk segera menghubungi saya. Terima kasih!",Servis AC
Perusahaan kami mencari teknisi komputer yang dapat melakukan pembaruan keamanan rutin dan memantau kerentanan perangkat lunak untuk memastikan keamanan sistem yang optimal.,Service Keamanan
"Kulkas saya mengalami kerusakan. Permasalahan ini telah berlangsung selama beberapa hari dan kondisinya tidak mengalami perbaikan meskipun Telah banyak saya lakukan. Oleh karena itu, saya ingin mencari dan memanggil teknisi yang bisa membantu saya menyelesaikan masalah ini.",Servis Kulkas
Saya memiliki AC yang rusak dan sudah berlangsung selama beberapa hari. Permasalahannya adalah AC tidak berfungsi dengan baik seperti temperatur dan tidak bisa menghasilkan udara dingin. Saya membutuhkan bantuan seorang teknisi elektronik yang bisa melakukan servis AC ini.,Servis AC
Posisi terbuka bagi tukang kayu berpengalaman dalam pembuatan furnitur minimalis dengan keunggulan dalam desain fungsional dan keindahan estetika.,Tukang Kayu
"Kami membuka lowongan untuk tukang kayu yang memiliki keahlian proyek kustom, dengan fokus pada manajemen proyek perabotan. Keahlian membaca dan memahami blueprint serta kemampuan berkomunikasi yang baik adalah syarat utama.",Tukang Kayu
"Sound system saya mengalami gangguan audio. Suaranya tidak lagi bersih dan jernih, meskipun sudah saya atur ulang volumenya. Teknisi elektronik yang terampil diharapkan dapat membantu memperbaiki sound system ini sebagaimana mestinya.",Servis Soundsystem
"TV digital saya telah mengalami masalah selama dua minggu terakhir di mana layar tidak menampilkan gambar sama sekali, hanya terdengar suara, meskipun kontrol remote berfungsi dengan normal. Saya sedang mencari teknisi elektronik yang berpengalaman dalam servis TV digital untuk memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang sesuai.",Servis Televisi
"Kami sedang mencari tukang semen berpengalaman untuk proyek pembangunan gedung bertingkat. Jika Anda memiliki pengetahuan mendalam tentang proses pengecoran gedung dan ingin menjadi bagian dari proyek prestisius ini, segera kirimkan lamaran Anda. Pengalaman di proyek serupa dihargai.",Tukang Semen
Apakah Anda memiliki pengalaman dalam merancang dan mengimplementasikan solusi keamanan endpoint? Kami mengajak teknisi komputer untuk bergabung dalam tim keamanan IT kami.,Service Keamanan
Cari tukang batu berpengalaman untuk membuat pondasi alami dengan batu-batu alam pada proyek-proyek besar seperti gedung. Syarat: pengalaman lebih dari 10 tahun.,Tukang Batu
Kami mencari teknisi komputer yang memiliki pengetahuan tentang teknologi machine learning dan dapat mengaplikasikannya dalam analisis data untuk mengidentifikasi pola dan tren.,Service Data
"Kulkas saya mengalami kerusakan dan tidak mampu melakukan tugasnya dengan baik. Mungkin bintik-bintik kondensasi di dasar dan lantai, suara berisik yang tidak dimiliki sebelumnya dan penyimpanan suhu yang tidak bagus adalah beberapa masalah yang saya hadapi. Saya mencari seseorang yang berkualitas untuk memperbaiki kulkas saya.",Servis Kulkas
"Kami mencari individu yang memiliki pengetahuan mendalam tentang sistem operasi, virtualisasi, dan konsep-konsep jaringan untuk menjadi teknisi komputer yang berkontribusi pada pertumbuhan teknologi perusahaan.",Service Sistem
"Dibutuhkan tukang las stainless steel untuk proyek pabrik makanan. Kualifikasi mencakup pemahaman tentang regulasi sanitasi, kemampuan mengelas stainless steel dengan ketelitian tinggi, dan kepatuhan terhadap standar keamanan pabrik makanan.",Tukang Las
"Perusahaan kami mencari teknisi komputer yang ahli dalam keamanan aplikasi, termasuk penilaian risiko dan pelaksanaan tindakan korektif untuk melindungi aplikasi dari serangan.",Service Keamanan
"Perusahaan kami membutuhkan teknisi komputer yang terampil dalam perangkat lunak untuk memenuhi kebutuhan layanan kami. Jika Anda memiliki kecakapan dalam menangani virus dan malware, serta dapat memberikan dukungan teknis perangkat lunak kepada pengguna, kami mengajak Anda untuk melamar posisi ini.",Service Perangkat lunak
"Kerusakan pada AC yang tersedia di tempat kerja kami telah menimbulkan masalah untuk mempertahankan suhu agar nyaman untuk para pekerja. Beberapa unit ah sudah tidak menghasilkan udara dingin seperti sebelumnya dan beberapa unit lainnya lebih lama untuk memulai. Oleh karena itu, kami mencari tukang servis AC untuk memperbaiki unit-unit ini agar bisa mengembalikan fungsinya sesuai harapan.",Servis AC
"Kesempatan bagi tukang cor dan semen dengan pengalaman minimal 5 tahun dalam proyek infrastruktur transportasi seperti pembangunan terminal bus atau stasiun kereta. Kualifikasi mencakup pemahaman tentang kepadatan lalu lintas, pengecoran platform dan jalur, serta kemampuan untuk bekerja dengan akurasi dalam lingkungan yang dinamis.",Tukang Semen
"Kami sedang mencari tukang batu yang memiliki keahlian dalam proyek lanskap, termasuk pembuatan jalan setapak, dinding penahan, dan elemen-elemen batu lainnya. Kualifikasi mencakup pengalaman dalam peletakan batu di lingkungan luar, pengetahuan tentang drainage, dan kemampuan untuk menghasilkan desain lanskap yang estetis.",Tukang Batu
"Kami sedang mencari teknisi komputer yang berfokus khusus pada perangkat keras untuk bergabung dengan tim kami. Jika Anda memiliki pengetahuan mendalam tentang diagnosa dan perbaikan kerusakan perangkat keras, kami mengundang Anda untuk melamar.",Service Perangkat keras
"Keluhan saya tentang smart TV adalah televisi tersebut tidak menyalakan. Saya sudah mencoba beberapa masukan, namun televisi tetap tidak menyala. Kondisi televisi masih normal, bahkan tombolnya juga berfungsi dengan baik. Saya mencari teknisi elektronik yang bisa melakukan servis pada televisi ini.",Servis Televisi
"Dibutuhkan tukang cat bangunan yang memiliki pengalaman khusus dalam menangani proyek cat untuk kamar mandi dan dapur. Kualifikasi mencakup pemahaman tentang tahan air, pilihan cat yang cocok untuk kondisi lembab, dan kemampuan memberikan tampilan yang estetis pada ruang-ruang ini.",Tukang Cat
"Perusahaan kami sedang mencari teknisi komputer yang handal dalam mengelola dan mengoptimalkan sistem operasi, serta memiliki keahlian dalam pemeliharaan perangkat keras.",Service Sistem
"Lowongan teknisi komputer kami mencari individu yang dapat mengelola siklus hidup perangkat keras dan perangkat lunak, termasuk pengembangan dan implementasi strategi peningkatan.",Service Sistem
"Dibutuhkan tukang las logam dengan fokus pada pekerjaan ornamental. Kualifikasi mencakup keahlian dalam menghasilkan detail artistik, kreativitas dalam menciptakan elemen dekoratif, dan pengalaman dalam mengelas logam dengan keanggunan.",Tukang Las
"Kami mencari tukang las logam berpengalaman untuk bergabung dalam tim produksi kami. Kualifikasi yang diinginkan mencakup keahlian dalam mengelas logam, pemahaman tentang blueprint teknis, dan kemampuan membaca dan mengikuti prosedur keamanan kerja.",Tukang Las
"Saya mengalami masalah dengan kulkas yang saya duga terkait dengan kompresor. Kulkas ini tampaknya tidak menghasilkan suhu dingin yang diperlukan. Masalah ini sudah terjadi selama seminggu. Saya sedang mencari teknisi elektronik yang berpengalaman dalam memperbaiki masalah kompresor kulkas. Jika Anda memiliki keahlian dalam bidang ini, mohon untuk segera menghubungi saya. Terima kasih.",Servis Kulkas
"Permasalahan yang ada pada kulkas saya adalah mesin tidak menggunakan listrik, displai digital layar kulkas tidak berfungsi, dan suhu yang tidak konsisten. Masalah ini sudah terjadi selama dua bulan dan butuh bantuan dari seorang teknisi elektronik yang dapat melakukan servis pada kulkas.",Servis Kulkas
"Sound system band kami telah bermasalah selama dua minggu terakhir. Terdapat masalah pada output suara dari speaker utama yang menghasilkan suara terdistorsi dan tidak jelas saat digunakan. Kami mencari teknisi elektronik yang berpengalaman dalam servis sound system untuk memeriksa dan memperbaiki masalah ini segera. Jika Anda memiliki keterampilan yang diperlukan, mohon segera hubungi kami.",Servis Soundsystem
Kami mencari teknisi komputer yang memiliki keahlian dalam melakukan analisis risiko keamanan siber dan dapat merancang strategi keamanan proaktif untuk melindungi infrastruktur IT kami.,Service Keamanan
Saya memiliki kulkas yang mengalami kerusakan dan sudah berlangsung selama kurang lebih 2 minggu. Kulkas tidak bisa menjaga suhu ruangan tetap dingin dan mengeluarkan suara Tiba-tiba. Saya ingin mencari dan memanggil teknisi elektronik yang bisa servis Kulkas saya.,Servis Kulkas
"Perusahaan kami sedang mencari teknisi komputer yang memiliki keterampilan dalam merancang dan mengelola basis data relasional, serta memastikan integritas dan konsistensi data.",Service Data
"Perusahaan kami berencana membangun rumah susun dengan konsep modern dan kokoh karena menyesuaikan dengan kondisi lahan yang cukup ekstrim. Kami membutuhkan 5 orang tukang semen yang ahli dalam pengecoran pondasi bangunan yang kokoh dan memahami struktural bangunan, kondisi alam, dan batuan dengan baik. Akan ada proses penerimaan yang cukup selektif, jadi siapkan portofolio dari pengalaman proyek terbaik Anda.",Tukang Semen
Lowongan untuk tukang batu dengan keahlian khusus dalam seni ukir batuan. Proyek restorasi bangunan sejarah membutuhkan keahlian ini. Pengalaman dan minat terhadap sejarah sangat diutamakan.,Tukang Batu
"Kami membuka peluang bagi tukang batu berpengalaman yang memiliki keahlian dalam konstruksi bangunan komersial. Kualifikasi melibatkan pemahaman tentang persyaratan struktural, kemampuan bekerja dengan mesin dan peralatan berat, serta pengalaman dalam menangani proyek-proyek skala besar. Pelamar diharapkan memiliki sertifikasi keselamatan kerja yang relevan.",Tukang Batu
Kami membuka peluang bagi teknisi komputer yang memiliki keahlian dalam implementasi dan pengelolaan teknologi data warehousing untuk menyimpan dan mengakses data secara efisien.,Service Data
"Saya memiliki TV digital yang mengalami kerusakan, sudah hampir sebulan masalah ini muncul. Kerusakan yang terjadi yaitu kualitas gambar yang buram, tiada suara, layar yang tidak berfungsi sempurna, dan tidak keluar gambar jika dihidupkan. Saya mencari teknisi elektronik yang bisa menyelesaikan masalah ini dengan cepat.",Servis Televisi
"Ac pada tempat saya bekerja mengalami kerusakan. Beberapa unit mengalami kondisi yang beragam mulai dari tidak merespons saat dihidupkan, mengalami kerusakan pada kompresor sampai hal-hal kecil seperti terisilnya filter. Sehingga kami membutuhkan tukang servis ac untuk memperbaiki dan memeriksa ac ini.",Servis AC
"Jika Anda adalah seorang ahli perangkat lunak komputer yang kreatif dan memiliki kemampuan untuk merancang solusi inovatif, kami ingin mengajak Anda bergabung dengan kami.",Service Perangkat lunak
"Perusahaan kami membutuhkan teknisi komputer yang dapat memberikan kontribusi signifikan dalam pengembangan perangkat lunak kami, mulai dari perancangan hingga implementasi.",Service Perangkat lunak
"Kami mencari tukang batu yang memiliki keahlian dalam pemeliharaan dan perawatan bangunan. Kualifikasi termasuk pengalaman dalam memperbaiki dan merawat elemen batu, pemahaman tentang bahan-bahan restorasi, dan kemampuan untuk menjaga tampilan dan kekokohan bangunan seiring waktu.",Tukang Batu
"Permasalahan yang saya alami pada mesin cuci adalah mesin cuci tidak mengeluarkan air dan sudah coba diperiksa selama kurang lebih 3 hari, namun belum dapat diselesaikan. Untuk membantu menyelesaikannya, saya ingin memanggil teknisi elektronik yang bisa melakukan servis mesin cuci.",Servis Mesin Cuci
"Dicari tukang kayu dengan keahlian khusus dalam pembuatan patung ukir sebagai bagian dari koleksi hiasan rumah, dengan fokus pada detail dan estetika tinggi.",Tukang Kayu
Diperlukan tukang las untuk proyek instalasi sistem pipa dan penyambungan logam di fasilitas pengolahan air. Pelamar ideal memiliki keterampilan dalam penyambungan pipa dan pengelasan logam untuk instalasi sistem air bersih dan limbah. Pengalaman dalam proyek pengolahan air atau instalasi pipa akan menjadi nilai tambah.,Tukang Las
"Saya memiliki TV digital yang mengalami kerusakan sejak 2 minggu yang lalu. Saat tv dihidupkan, muncul pesan error dan tak bisa masuk ke menu. Saya mencari dan membutuhkan bantuan teknisi elektronik yang bisa servis TV ini.",Servis Televisi
Tv digital saya mengalami kerusakan dan sudah berlangsung selama 1 bulan. Tv tersebut masih dapat dinyalakan namun layar masih hitam dan tidak menampilkan gambar. Saya mencari teknisi elektronik yang bisa memperbaiki kondisi televisi saya.,Servis Televisi
"Saya sedang mencari teknisi elektronik untuk menangani sound system yang mengalami kerusakan. Masalah ini sudah berlangsung selama beberapa minggu dan terdengar bahwa sound system tidak menghasilkan suara maksimal. Lebih jelas, speaker terdengar amat lemah dan tidak ada tombol suara yang berfungsi. Akhirnya yang harus saya lakukan adalah servis sound system ini.",Servis Soundsystem
"Kesempatan ini terbuka bagi tukang pahat kayu yang memiliki keahlian istimewa dalam mengukir motif tradisional. Kami menginginkan individu yang tidak hanya mahir dalam seni ukir, tetapi juga dapat memilih kayu yang sesuai untuk memastikan hasil akhir yang tahan lama.",Tukang Kayu
Sound system saya mengalami kerusakan dan memerlukan servis. Saya telah mencoba memperbaikinya sendiri namun hasilnya belum berhasil. Teknisi elektronik berpengalaman yang dapat menganalisis serta memperbaiki sound system saya diperlukan. Terima kasih.,Servis Soundsystem
"Lowongan teknisi komputer terbuka bagi individu yang memiliki pengetahuan mendalam tentang perangkat keras. Jika Anda memiliki kemampuan troubleshooting yang tinggi, dapat mengganti komponen dengan presisi, dan memiliki pengalaman dalam memperbaiki masalah daya, kami mengundang Anda untuk melamar.",Service Perangkat keras
"Kami sedang mencari tukang batu yang memiliki pengalaman dalam mengerjakan berbagai proyek kolam renang, seperti kolam renang pribadi, kolam renang umum, dan lainnya. Pekerjaan yang dilakukan meliputi pemasangan batu bata, pengecoran, pemasangan keramik, dan pekerjaan lainnya yang berhubungan dengan batu.",Tukang Batu
"Jika Anda memiliki keahlian dalam penanganan masalah kinerja sistem yang kompleks, termasuk pemecahan masalah di tingkat tinggi, kami ingin mengundang Anda untuk melamar posisi teknisi komputer.",Service Sistem
Kami membuka peluang bagi teknisi komputer yang memiliki keahlian dalam pengujian penetrasi dan dapat memberikan rekomendasi perbaikan keamanan berdasarkan hasil evaluasi keamanan.,Service Keamanan
"Smart TV saya bermasalah; secara tiba-tiba layarnya tidak menyala saat dinyalakan dan tidak merespons perintah. Saya mencari teknisi elektronik yang berpengalaman untuk memeriksa dan memperbaiki masalah ini. Jika Anda memiliki keahlian dalam perbaikan TV pintar, harap segera hubungi saya.",Servis Televisi
Dibuka lowongan pekerjaan untuk tukang batu dengan keahlian khusus pada bagian seni ukir batuan. Kami sedang menjalani proyek restorasi salah satu bangunan sejarah di daerah Jawa Tengah jadi kami juga butuh orang yang setidaknya memiliki pengalaman atau minat terhadap sejarah karena konsep ukiran batu yang akan dilakukan sangat identik dengan sejarah dan nilai-nilai budaya.,Tukang Batu
Lowongan pekerjaan terbuka untuk teknisi komputer yang memiliki pengetahuan mendalam tentang perbaikan perangkat keras. Kami mencari individu yang dapat memberikan solusi cepat dan efisien untuk berbagai masalah komputer.,Service Perangkat keras
"Perusahaan kami mencari teknisi komputer yang berfokus pada perangkat lunak untuk mendukung operasional harian. Jika Anda memiliki pengetahuan mendalam tentang penanganan error, memahami protokol jaringan, dan dapat merancang solusi untuk memaksimalkan keefektifan perangkat lunak, kami ingin melihat CV Anda.",Service Perangkat lunak
"Kami sedang mencari tukang semen yang memiliki pengalaman dalam pengecoran kolom untuk proyek-proyek bangunan, seperti rumah, ruko, gedung, dan lainnya. Pekerjaan yang dilakukan meliputi pengecoran kolom beton, pengecoran kolom bata, dan pengecoran kolom lainnya.",Tukang Semen
"Kami membuka peluang bagi tukang semen dan cor yang memiliki pengalaman dalam proyek pemeliharaan jembatan. Kualifikasi mencakup setidaknya 6 tahun pengalaman dalam pengecoran dan perbaikan struktur jembatan, pemahaman tentang toleransi beban, dan sertifikasi keselamatan kerja di proyek infrastruktur.",Tukang Semen
Lowongan ini membutuhkan tukang ukir kayu yang mahir dalam menciptakan elemen dekoratif untuk ruang spa dan resor. Kualifikasi melibatkan setidaknya 5 tahun pengalaman dalam menyediakan sentuhan artistik untuk lingkungan santai dan mewah.,Tukang Kayu
"Lowongan teknisi komputer kami mengutamakan kandidat yang dapat merancang dan mengelola sistem data federasi, menggabungkan data dari sumber berbeda dalam satu tampilan terpadu.",Service Data
"Kulkas saya mengalami kerusakan, suhu dinginnya tidak lagi stabil dan masalah ini sudah berlangsung selama sekitar seminggu. Saya sedang mencari teknisi yang bisa memperbaiki kondisi kulkas yang tidak berfungsi dengan baik.",Servis Kulkas
"Saat ini, laundry kami mengalami masalah dengan salah satu mesin cuci yang kami miliki. Mesin ini mengalami kesulitan dalam memulai siklus pencucian dan terhenti secara tiba-tiba tanpa menyelesaikan proses pencucian. Kami sedang mencari teknisi elektronik yang berpengalaman dalam memperbaiki masalah mesin cuci. Mohon untuk segera menghubungi kami jika Anda memiliki keahlian yang diperlukan.",Servis Mesin Cuci
"Teknisi komputer yang berfokus pada perangkat keras yang kami cari harus memiliki pengetahuan luas tentang motherboard, GPU, dan perangkat keras lainnya. Anda juga harus memiliki rekam jejak solid dalam bidang ini. Jika Anda memenuhi syarat, kami sangat berminat untuk mengenal Anda lebih lanjut.",Service Perangkat keras
Kami membuka kesempatan bagi teknisi komputer yang memiliki pengetahuan tentang keamanan perangkat lunak dan dapat melakukan pembaruan dan pemeliharaan rutin untuk mengatasi kerentanan.,Service Keamanan
"Saya memiliki televisi digital yang mengalami kerusakan. Masalahnya adalah layar menjadi hitam atau blank tanpa gambar, yang telah berlangsung selama lebih dari seminggu. Saya mencari teknisi elektronik yang bersedia untuk menyervis televisi saya dengan segera.",Servis Televisi
Sound system saya mengalami masalah dengan suara yang sering berputar sendiri dan suara yang pincang. Pengujian dan perbaikan menyeluruh diperlukan untuk memastikan bahwa sound system berfungsi dengan benar. Saya mencari seorang teknisi elektronik yang bisa membantu memperbaiki masalah ini.,Servis Soundsystem
